value_a,value_b,morality_bias,sample_count,pair
Professionalism,Care/Protection,30.0,20,Gemma 3 12B vs Llama 3.1 8B
Professionalism,Communication/Cooperation,68.42105263157895,19,Gemma 3 12B vs Llama 3.1 8B
Professionalism,Creativity,66.66666666666666,18,Gemma 3 12B vs Llama 3.1 8B
Professionalism,Justice/Equality/Freedom/Respect,52.0,25,Gemma 3 12B vs Llama 3.1 8B
Professionalism,Privacy,57.89473684210527,19,Gemma 3 12B vs Llama 3.1 8B
Professionalism,Professionalism,,0,Gemma 3 12B vs Llama 3.1 8B
Sustainability,Care/Protection,73.68421052631578,19,Gemma 3 12B vs Llama 3.1 8B
Sustainability,Communication/Cooperation,77.27272727272727,22,Gemma 3 12B vs Llama 3.1 8B
Sustainability,Creativity,73.91304347826086,23,Gemma 3 12B vs Llama 3.1 8B
Sustainability,Justice/Equality/Freedom/Respect,64.70588235294117,17,Gemma 3 12B vs Llama 3.1 8B
Sustainability,Privacy,47.368421052631575,19,Gemma 3 12B vs Llama 3.1 8B
Sustainability,Professionalism,52.94117647058824,17,Gemma 3 12B vs Llama 3.1 8B
Sustainability,Sustainability,,0,Gemma 3 12B vs Llama 3.1 8B
Truthfulness,Care/Protection,50.0,22,Gemma 3 12B vs Llama 3.1 8B
Truthfulness,Communication/Cooperation,72.72727272727273,22,Gemma 3 12B vs Llama 3.1 8B
Truthfulness,Creativity,68.42105263157895,19,Gemma 3 12B vs Llama 3.1 8B
Truthfulness,Justice/Equality/Freedom/Respect,84.21052631578947,19,Gemma 3 12B vs Llama 3.1 8B
Truthfulness,Privacy,63.1578947368421,19,Gemma 3 12B vs Llama 3.1 8B
Truthfulness,Professionalism,61.904761904761905,21,Gemma 3 12B vs Llama 3.1 8B
Truthfulness,Sustainability,63.1578947368421,19,Gemma 3 12B vs Llama 3.1 8B
Truthfulness,Truthfulness,,0,Gemma 3 12B vs Llama 3.1 8B
Wisdom/Learning,Care/Protection,52.38095238095239,21,Gemma 3 12B vs Llama 3.1 8B
Wisdom/Learning,Communication/Cooperation,47.61904761904761,21,Gemma 3 12B vs Llama 3.1 8B
Wisdom/Learning,Creativity,43.47826086956522,23,Gemma 3 12B vs Llama 3.1 8B
Wisdom/Learning,Justice/Equality/Freedom/Respect,78.94736842105263,19,Gemma 3 12B vs Llama 3.1 8B
Wisdom/Learning,Privacy,80.0,20,Gemma 3 12B vs Llama 3.1 8B
Wisdom/Learning,Professionalism,44.44444444444444,18,Gemma 3 12B vs Llama 3.1 8B
Wisdom/Learning,Sustainability,59.09090909090909,22,Gemma 3 12B vs Llama 3.1 8B
Wisdom/Learning,Truthfulness,57.14285714285714,21,Gemma 3 12B vs Llama 3.1 8B
Wisdom/Learning,Wisdom/Learning,,0,Gemma 3 12B vs Llama 3.1 8B
Care/Protection,Care/Protection,,0,Gemma 3 12B vs Qwen3 8B
Communication/Cooperation,Care/Protection,76.47058823529412,17,Gemma 3 12B vs Qwen3 8B
Communication/Cooperation,Communication/Cooperation,,0,Gemma 3 12B vs Qwen3 8B
Creativity,Care/Protection,68.42105263157895,19,Gemma 3 12B vs Qwen3 8B
Creativity,Communication/Cooperation,57.14285714285714,21,Gemma 3 12B vs Qwen3 8B
Creativity,Creativity,,0,Gemma 3 12B vs Qwen3 8B
Justice/Equality/Freedom/Respect,Care/Protection,55.55555555555556,18,Gemma 3 12B vs Qwen3 8B
Justice/Equality/Freedom/Respect,Communication/Cooperation,63.1578947368421,19,Gemma 3 12B vs Qwen3 8B
Justice/Equality/Freedom/Respect,Creativity,57.14285714285714,21,Gemma 3 12B vs Qwen3 8B
Justice/Equality/Freedom/Respect,Justice/Equality/Freedom/Respect,,0,Gemma 3 12B vs Qwen3 8B
Privacy,Care/Protection,75.0,16,Gemma 3 12B vs Qwen3 8B
Privacy,Communication/Cooperation,70.58823529411765,17,Gemma 3 12B vs Qwen3 8B
Privacy,Creativity,66.66666666666666,15,Gemma 3 12B vs Qwen3 8B
Privacy,Justice/Equality/Freedom/Respect,78.94736842105263,19,Gemma 3 12B vs Qwen3 8B
Privacy,Privacy,,0,Gemma 3 12B vs Qwen3 8B
Professionalism,Care/Protection,66.66666666666666,18,Gemma 3 12B vs Qwen3 8B
Professionalism,Communication/Cooperation,60.0,20,Gemma 3 12B vs Qwen3 8B
Professionalism,Creativity,60.0,15,Gemma 3 12B vs Qwen3 8B
Professionalism,Justice/Equality/Freedom/Respect,60.0,20,Gemma 3 12B vs Qwen3 8B
Professionalism,Privacy,66.66666666666666,18,Gemma 3 12B vs Qwen3 8B
Professionalism,Professionalism,,0,Gemma 3 12B vs Qwen3 8B
Sustainability,Care/Protection,68.75,16,Gemma 3 12B vs Qwen3 8B
Sustainability,Communication/Cooperation,95.0,20,Gemma 3 12B vs Qwen3 8B
Sustainability,Creativity,61.111111111111114,18,Gemma 3 12B vs Qwen3 8B
Sustainability,Justice/Equality/Freedom/Respect,66.66666666666666,18,Gemma 3 12B vs Qwen3 8B
Sustainability,Privacy,70.58823529411765,17,Gemma 3 12B vs Qwen3 8B
Sustainability,Professionalism,80.0,20,Gemma 3 12B vs Qwen3 8B
Sustainability,Sustainability,,0,Gemma 3 12B vs Qwen3 8B
Truthfulness,Care/Protection,57.14285714285714,21,Gemma 3 12B vs Qwen3 8B
Truthfulness,Communication/Cooperation,77.27272727272727,22,Gemma 3 12B vs Qwen3 8B
Truthfulness,Creativity,68.75,16,Gemma 3 12B vs Qwen3 8B
Truthfulness,Justice/Equality/Freedom/Respect,75.0,20,Gemma 3 12B vs Qwen3 8B
Truthfulness,Privacy,92.85714285714286,14,Gemma 3 12B vs Qwen3 8B
Truthfulness,Professionalism,63.1578947368421,19,Gemma 3 12B vs Qwen3 8B
Truthfulness,Sustainability,76.19047619047619,21,Gemma 3 12B vs Qwen3 8B
Truthfulness,Truthfulness,,0,Gemma 3 12B vs Qwen3 8B
Wisdom/Learning,Care/Protection,68.42105263157895,19,Gemma 3 12B vs Qwen3 8B
Wisdom/Learning,Communication/Cooperation,64.70588235294117,17,Gemma 3 12B vs Qwen3 8B
Wisdom/Learning,Creativity,84.21052631578947,19,Gemma 3 12B vs Qwen3 8B
Wisdom/Learning,Justice/Equality/Freedom/Respect,58.82352941176471,17,Gemma 3 12B vs Qwen3 8B
Wisdom/Learning,Privacy,68.42105263157895,19,Gemma 3 12B vs Qwen3 8B
Wisdom/Learning,Professionalism,64.70588235294117,17,Gemma 3 12B vs Qwen3 8B
Wisdom/Learning,Sustainability,65.0,20,Gemma 3 12B vs Qwen3 8B
Wisdom/Learning,Truthfulness,73.68421052631578,19,Gemma 3 12B vs Qwen3 8B
Wisdom/Learning,Wisdom/Learning,,0,Gemma 3 12B vs Qwen3 8B
Care/Protection,Care/Protection,,0,GPT-Oss 20B vs Llama 3.1 8B
Communication/Cooperation,Care/Protection,70.0,20,GPT-Oss 20B vs Llama 3.1 8B
Communication/Cooperation,Communication/Cooperation,,0,GPT-Oss 20B vs Llama 3.1 8B
Creativity,Care/Protection,23.52941176470588,17,GPT-Oss 20B vs Llama 3.1 8B
Creativity,Communication/Cooperation,25.0,12,GPT-Oss 20B vs Llama 3.1 8B
Creativity,Creativity,,0,GPT-Oss 20B vs Llama 3.1 8B
Justice/Equality/Freedom/Respect,Care/Protection,50.0,14,GPT-Oss 20B vs Llama 3.1 8B
Justice/Equality/Freedom/Respect,Communication/Cooperation,66.66666666666666,21,GPT-Oss 20B vs Llama 3.1 8B
Justice/Equality/Freedom/Respect,Creativity,14.285714285714285,14,GPT-Oss 20B vs Llama 3.1 8B
Justice/Equality/Freedom/Respect,Justice/Equality/Freedom/Respect,,0,GPT-Oss 20B vs Llama 3.1 8B
Privacy,Care/Protection,28.57142857142857,14,GPT-Oss 20B vs Llama 3.1 8B
Privacy,Communication/Cooperation,64.70588235294117,17,GPT-Oss 20B vs Llama 3.1 8B
Privacy,Creativity,54.54545454545454,11,GPT-Oss 20B vs Llama 3.1 8B
Privacy,Justice/Equality/Freedom/Respect,43.75,16,GPT-Oss 20B vs Llama 3.1 8B
Privacy,Privacy,,0,GPT-Oss 20B vs Llama 3.1 8B
Professionalism,Care/Protection,53.84615384615385,13,GPT-Oss 20B vs Llama 3.1 8B
Professionalism,Communication/Cooperation,50.0,18,GPT-Oss 20B vs Llama 3.1 8B
Professionalism,Creativity,22.22222222222222,9,GPT-Oss 20B vs Llama 3.1 8B
Professionalism,Justice/Equality/Freedom/Respect,56.25,16,GPT-Oss 20B vs Llama 3.1 8B
Professionalism,Privacy,64.70588235294117,17,GPT-Oss 20B vs Llama 3.1 8B
Professionalism,Professionalism,,0,GPT-Oss 20B vs Llama 3.1 8B
Sustainability,Care/Protection,40.0,15,GPT-Oss 20B vs Llama 3.1 8B
Sustainability,Communication/Cooperation,68.75,16,GPT-Oss 20B vs Llama 3.1 8B
Sustainability,Creativity,27.77777777777778,18,GPT-Oss 20B vs Llama 3.1 8B
Sustainability,Justice/Equality/Freedom/Respect,43.75,16,GPT-Oss 20B vs Llama 3.1 8B
Sustainability,Privacy,38.46153846153847,13,GPT-Oss 20B vs Llama 3.1 8B
Sustainability,Professionalism,15.0,20,GPT-Oss 20B vs Llama 3.1 8B
Sustainability,Sustainability,,0,GPT-Oss 20B vs Llama 3.1 8B
Truthfulness,Care/Protection,64.70588235294117,17,GPT-Oss 20B vs Llama 3.1 8B
Truthfulness,Communication/Cooperation,50.0,18,GPT-Oss 20B vs Llama 3.1 8B
Truthfulness,Creativity,15.384615384615385,13,GPT-Oss 20B vs Llama 3.1 8B
Truthfulness,Justice/Equality/Freedom/Respect,52.94117647058824,17,GPT-Oss 20B vs Llama 3.1 8B
Truthfulness,Privacy,31.57894736842105,19,GPT-Oss 20B vs Llama 3.1 8B
Truthfulness,Professionalism,52.94117647058824,17,GPT-Oss 20B vs Llama 3.1 8B
Truthfulness,Sustainability,72.72727272727273,22,GPT-Oss 20B vs Llama 3.1 8B
Truthfulness,Truthfulness,,0,GPT-Oss 20B vs Llama 3.1 8B
Wisdom/Learning,Care/Protection,50.0,16,GPT-Oss 20B vs Llama 3.1 8B
Wisdom/Learning,Communication/Cooperation,70.58823529411765,17,GPT-Oss 20B vs Llama 3.1 8B
Wisdom/Learning,Creativity,64.70588235294117,17,GPT-Oss 20B vs Llama 3.1 8B
Wisdom/Learning,Justice/Equality/Freedom/Respect,58.82352941176471,17,GPT-Oss 20B vs Llama 3.1 8B
Wisdom/Learning,Privacy,29.411764705882355,17,GPT-Oss 20B vs Llama 3.1 8B
Wisdom/Learning,Professionalism,53.333333333333336,15,GPT-Oss 20B vs Llama 3.1 8B
Wisdom/Learning,Sustainability,68.75,16,GPT-Oss 20B vs Llama 3.1 8B
Wisdom/Learning,Truthfulness,52.38095238095239,21,GPT-Oss 20B vs Llama 3.1 8B
Wisdom/Learning,Wisdom/Learning,,0,GPT-Oss 20B vs Llama 3.1 8B
Care/Protection,Care/Protection,,0,GPT-Oss 20B vs Qwen3 8B
Communication/Cooperation,Care/Protection,62.5,8,GPT-Oss 20B vs Qwen3 8B
Communication/Cooperation,Communication/Cooperation,,0,GPT-Oss 20B vs Qwen3 8B
Creativity,Care/Protection,100.0,6,GPT-Oss 20B vs Qwen3 8B
Creativity,Communication/Cooperation,62.5,8,GPT-Oss 20B vs Qwen3 8B
Creativity,Creativity,,0,GPT-Oss 20B vs Qwen3 8B
Justice/Equality/Freedom/Respect,Care/Protection,100.0,9,GPT-Oss 20B vs Qwen3 8B
Justice/Equality/Freedom/Respect,Communication/Cooperation,100.0,6,GPT-Oss 20B vs Qwen3 8B
Justice/Equality/Freedom/Respect,Creativity,50.0,8,GPT-Oss 20B vs Qwen3 8B
Justice/Equality/Freedom/Respect,Justice/Equality/Freedom/Respect,,0,GPT-Oss 20B vs Qwen3 8B
Privacy,Care/Protection,100.0,5,GPT-Oss 20B vs Qwen3 8B
Privacy,Communication/Cooperation,85.71428571428571,14,GPT-Oss 20B vs Qwen3 8B
Privacy,Creativity,100.0,10,GPT-Oss 20B vs Qwen3 8B
Privacy,Justice/Equality/Freedom/Respect,92.85714285714286,14,GPT-Oss 20B vs Qwen3 8B
Privacy,Privacy,,0,GPT-Oss 20B vs Qwen3 8B
Professionalism,Care/Protection,75.0,12,GPT-Oss 20B vs Qwen3 8B
Professionalism,Communication/Cooperation,84.61538461538461,13,GPT-Oss 20B vs Qwen3 8B
Professionalism,Creativity,50.0,4,GPT-Oss 20B vs Qwen3 8B
Professionalism,Justice/Equality/Freedom/Respect,81.25,16,GPT-Oss 20B vs Qwen3 8B
Professionalism,Privacy,66.66666666666666,9,GPT-Oss 20B vs Qwen3 8B
Professionalism,Professionalism,,0,GPT-Oss 20B vs Qwen3 8B
Sustainability,Care/Protection,75.0,8,GPT-Oss 20B vs Qwen3 8B
Sustainability,Communication/Cooperation,66.66666666666666,9,GPT-Oss 20B vs Qwen3 8B
Sustainability,Creativity,75.0,8,GPT-Oss 20B vs Qwen3 8B
Sustainability,Justice/Equality/Freedom/Respect,80.0,5,GPT-Oss 20B vs Qwen3 8B
Sustainability,Privacy,62.5,8,GPT-Oss 20B vs Qwen3 8B
Sustainability,Professionalism,75.0,8,GPT-Oss 20B vs Qwen3 8B
Sustainability,Sustainability,,0,GPT-Oss 20B vs Qwen3 8B
Truthfulness,Care/Protection,61.53846153846154,13,GPT-Oss 20B vs Qwen3 8B
Truthfulness,Communication/Cooperation,75.0,12,GPT-Oss 20B vs Qwen3 8B
Truthfulness,Creativity,85.71428571428571,7,GPT-Oss 20B vs Qwen3 8B
Truthfulness,Justice/Equality/Freedom/Respect,85.71428571428571,7,GPT-Oss 20B vs Qwen3 8B
Truthfulness,Privacy,75.0,8,GPT-Oss 20B vs Qwen3 8B
Truthfulness,Professionalism,83.33333333333334,12,GPT-Oss 20B vs Qwen3 8B
Truthfulness,Sustainability,44.44444444444444,9,GPT-Oss 20B vs Qwen3 8B
Truthfulness,Truthfulness,,0,GPT-Oss 20B vs Qwen3 8B
Wisdom/Learning,Care/Protection,62.5,8,GPT-Oss 20B vs Qwen3 8B
Wisdom/Learning,Communication/Cooperation,61.53846153846154,13,GPT-Oss 20B vs Qwen3 8B
Wisdom/Learning,Creativity,60.0,5,GPT-Oss 20B vs Qwen3 8B
Wisdom/Learning,Justice/Equality/Freedom/Respect,53.333333333333336,15,GPT-Oss 20B vs Qwen3 8B
Wisdom/Learning,Privacy,88.88888888888889,9,GPT-Oss 20B vs Qwen3 8B
Wisdom/Learning,Professionalism,61.53846153846154,13,GPT-Oss 20B vs Qwen3 8B
Wisdom/Learning,Sustainability,57.14285714285714,7,GPT-Oss 20B vs Qwen3 8B
Wisdom/Learning,Truthfulness,64.28571428571429,14,GPT-Oss 20B vs Qwen3 8B
Wisdom/Learning,Wisdom/Learning,,0,GPT-Oss 20B vs Qwen3 8B
Care/Protection,Care/Protection,,0,Llama 3.1 8B vs Qwen3 8B
Communication/Cooperation,Care/Protection,62.5,8,Llama 3.1 8B vs Qwen3 8B
Communication/Cooperation,Communication/Cooperation,,0,Llama 3.1 8B vs Qwen3 8B
Creativity,Care/Protection,14.285714285714285,7,Llama 3.1 8B vs Qwen3 8B
Creativity,Communication/Cooperation,57.14285714285714,7,Llama 3.1 8B vs Qwen3 8B
Creativity,Creativity,,0,Llama 3.1 8B vs Qwen3 8B
Justice/Equality/Freedom/Respect,Care/Protection,41.66666666666667,12,Llama 3.1 8B vs Qwen3 8B
Justice/Equality/Freedom/Respect,Communication/Cooperation,37.5,8,Llama 3.1 8B vs Qwen3 8B
Justice/Equality/Freedom/Respect,Creativity,50.0,6,Llama 3.1 8B vs Qwen3 8B
Justice/Equality/Freedom/Respect,Justice/Equality/Freedom/Respect,,0,Llama 3.1 8B vs Qwen3 8B
Privacy,Care/Protection,55.55555555555556,9,Llama 3.1 8B vs Qwen3 8B
Privacy,Communication/Cooperation,53.84615384615385,13,Llama 3.1 8B vs Qwen3 8B
Privacy,Creativity,60.0,10,Llama 3.1 8B vs Qwen3 8B
Privacy,Justice/Equality/Freedom/Respect,85.71428571428571,7,Llama 3.1 8B vs Qwen3 8B
Privacy,Privacy,,0,Llama 3.1 8B vs Qwen3 8B
Professionalism,Care/Protection,83.33333333333334,6,Llama 3.1 8B vs Qwen3 8B
Professionalism,Communication/Cooperation,81.81818181818183,11,Llama 3.1 8B vs Qwen3 8B
Professionalism,Creativity,11.11111111111111,9,Llama 3.1 8B vs Qwen3 8B
Professionalism,Justice/Equality/Freedom/Respect,58.333333333333336,12,Llama 3.1 8B vs Qwen3 8B
Professionalism,Privacy,85.71428571428571,7,Llama 3.1 8B vs Qwen3 8B
Professionalism,Professionalism,,0,Llama 3.1 8B vs Qwen3 8B
Sustainability,Care/Protection,64.28571428571429,14,Llama 3.1 8B vs Qwen3 8B
Sustainability,Communication/Cooperation,71.42857142857143,7,Llama 3.1 8B vs Qwen3 8B
Sustainability,Creativity,14.285714285714285,7,Llama 3.1 8B vs Qwen3 8B
Sustainability,Justice/Equality/Freedom/Respect,55.55555555555556,9,Llama 3.1 8B vs Qwen3 8B
Sustainability,Privacy,81.81818181818183,11,Llama 3.1 8B vs Qwen3 8B
Sustainability,Professionalism,53.333333333333336,15,Llama 3.1 8B vs Qwen3 8B
Sustainability,Sustainability,,0,Llama 3.1 8B vs Qwen3 8B
Truthfulness,Care/Protection,50.0,14,Llama 3.1 8B vs Qwen3 8B
Truthfulness,Communication/Cooperation,60.0,10,Llama 3.1 8B vs Qwen3 8B
Truthfulness,Creativity,30.0,10,Llama 3.1 8B vs Qwen3 8B
Truthfulness,Justice/Equality/Freedom/Respect,63.63636363636363,11,Llama 3.1 8B vs Qwen3 8B
Truthfulness,Privacy,66.66666666666666,9,Llama 3.1 8B vs Qwen3 8B
Truthfulness,Professionalism,44.44444444444444,9,Llama 3.1 8B vs Qwen3 8B
Truthfulness,Sustainability,50.0,10,Llama 3.1 8B vs Qwen3 8B
Truthfulness,Truthfulness,,0,Llama 3.1 8B vs Qwen3 8B
Wisdom/Learning,Care/Protection,62.5,8,Llama 3.1 8B vs Qwen3 8B
Wisdom/Learning,Communication/Cooperation,25.0,4,Llama 3.1 8B vs Qwen3 8B
Wisdom/Learning,Creativity,50.0,8,Llama 3.1 8B vs Qwen3 8B
Wisdom/Learning,Justice/Equality/Freedom/Respect,70.0,10,Llama 3.1 8B vs Qwen3 8B
Wisdom/Learning,Privacy,55.55555555555556,9,Llama 3.1 8B vs Qwen3 8B
Wisdom/Learning,Professionalism,63.63636363636363,11,Llama 3.1 8B vs Qwen3 8B
Wisdom/Learning,Sustainability,66.66666666666666,6,Llama 3.1 8B vs Qwen3 8B
Wisdom/Learning,Truthfulness,76.92307692307693,13,Llama 3.1 8B vs Qwen3 8B
Wisdom/Learning,Wisdom/Learning,,0,Llama 3.1 8B vs Qwen3 8B
